Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[16]     2.2    0.00    0.01   40000         std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::__dynamic_bitset_base(unsigned long, unsigned long long, std::allocator<unsigned long long> const&) [16]
                0.01    0.00   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::vector(unsigned long, unsigned long long const&, std::allocator<unsigned long long> const&) [17]
-----------------------------------------------
                0.01    0.00   40000/40000       std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::__dynamic_bitset_base(unsigned long, unsigned long long, std::allocator<unsigned long long> const&) [16]
[17]     2.2    0.01    0.00   40000         std::vector<unsigned long long, std::allocator<unsigned long long> >::vector(unsigned long, unsigned long long const&, std::allocator<unsigned long long> const&) [17]
                0.00    0.00   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::_S_check_init_len(unsigned long, std::allocator<unsigned long long> const&) [79]
                0.00    0.00   40000/40000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_base(unsigned long, std::allocator<unsigned long long> const&) [71]
                0.00    0.00   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_fill_initialize(unsigned long, unsigned long long const&) [80]
-----------------------------------------------
                0.00    0.01   40000/40000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_base() [19]
[18]     1.1    0.00    0.01   40000         std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::_Vector_impl() [18]
                0.00    0.01   40000/80000       std::allocator<unsigned long long>::allocator() [14]
                0.00    0.00   40000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl_data::_Vector_impl_data() [51]
-----------------------------------------------
                0.00    0.01   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::vector() [22]
[19]     1.1    0.00    0.01   40000         std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_base() [19]
                0.00    0.01   40000/40000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::_Vector_impl() [18]
-----------------------------------------------
                0.00    0.01   40000/40000       void std::_Construct<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*) [23]
[20]     1.1    0.00    0.01   40000         std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::dynamic_bitset() [20]
                0.00    0.01   40000/40000       std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::__dynamic_bitset_base() [21]
-----------------------------------------------
                0.00    0.01   40000/40000       std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::dynamic_bitset() [20]
[21]     1.1    0.00    0.01   40000         std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::__dynamic_bitset_base() [21]
                0.00    0.01   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::vector() [22]
-----------------------------------------------
                0.00    0.01   40000/40000       std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::__dynamic_bitset_base() [21]
[22]     1.1    0.00    0.01   40000         std::vector<unsigned long long, std::allocator<unsigned long long> >::vector() [22]
                0.00    0.01   40000/40000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_base() [19]
-----------------------------------------------
                0.00    0.01   40000/40000       std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long) [24]
[23]     1.1    0.00    0.01   40000         void std::_Construct<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*) [23]
                0.00    0.01   40000/40000       std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::dynamic_bitset() [20]
                0.00    0.00   40000/40000       operator new(unsigned long, void*) [100]
-----------------------------------------------
                0.00    0.01       1/1           std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long) [27]
[24]     1.1    0.00    0.01       1         std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long) [24]
                0.00    0.01   40000/40000       void std::_Construct<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*) [23]
                0.00    0.00   40000/80000       std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__addressof<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >&) [58]
-----------------------------------------------
                0.00    0.01       1/1           std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::resize(unsigned long) [26]
[25]     1.1    0.00    0.01       1         std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_default_append(unsigned long) [25]
                0.00    0.01       1/1           std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n_a<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&) [28]
                0.00    0.00       2/4           std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::max_size() const [105]
                0.00    0.00       2/3           std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_get_Tp_allocator() [109]
                0.00    0.00       1/8           std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::size() const [101]
                0.00    0.00       1/1           std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_check_len(unsigned long, char const*) const [120]
                0.00    0.00       1/1           std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_allocate(unsigned long) [124]
                0.00    0.00       1/1           std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_S_relocate(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&) [138]
                0.00    0.00       1/2           std::_Vector_base<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_deallocate(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long) [114]
-----------------------------------------------
                0.00    0.01       1/1           main [1]
[26]     1.1    0.00    0.01       1         std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::resize(unsigned long) [26]
                0.00    0.01       1/1           std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_default_append(unsigned long) [25]
                0.00    0.00       2/8           std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::size() const [101]
-----------------------------------------------
                0.00    0.01       1/1           std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n_a<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&) [28]
[27]     1.1    0.00    0.01       1         std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long) [27]
                0.00    0.01       1/1           std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long) [24]
-----------------------------------------------
                0.00    0.01       1/1           std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_M_default_append(unsigned long) [25]
[28]     1.1    0.00    0.01       1         std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n_a<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >&) [28]
                0.00    0.01       1/1           std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long) [27]
-----------------------------------------------
                0.00    0.00   40000/200000      std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&) [82]
                0.00    0.00   40000/200000      unsigned long long* std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(unsigned long, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [81]
                0.00    0.00   40000/200000      std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_fill_initialize(unsigned long, unsigned long long const&) [80]
                0.00    0.00   80000/200000      std::vector<unsigned long long, std::allocator<unsigned long long> >::~vector() [57]
[35]     0.0    0.00    0.00  200000         std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_get_Tp_allocator() [35]
-----------------------------------------------
                0.00    0.00  160000/160000      std::allocator<unsigned long long>::~allocator() [37]
[36]     0.0    0.00    0.00  160000         __gnu_cxx::new_allocator<unsigned long long>::~new_allocator() [36]
-----------------------------------------------
                0.00    0.00   40000/160000      main [1]
                0.00    0.00   40000/160000      std::vector<unsigned long long, std::allocator<unsigned long long> >::_S_check_init_len(unsigned long, std::allocator<unsigned long long> const&) [79]
                0.00    0.00   80000/160000      std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::~_Vector_impl() [50]
[37]     0.0    0.00    0.00  160000         std::allocator<unsigned long long>::~allocator() [37]
                0.00    0.00  160000/160000      __gnu_cxx::new_allocator<unsigned long long>::~new_allocator() [36]
-----------------------------------------------
                0.00    0.00   40000/120000      __gnu_cxx::new_allocator<unsigned long long>::max_size() const [63]
                0.00    0.00   80000/120000      __gnu_cxx::new_allocator<unsigned long long>::allocate(unsigned long, void const*) [44]
[38]     0.0    0.00    0.00  120000         __gnu_cxx::new_allocator<unsigned long long>::_M_max_size() const [38]
-----------------------------------------------
                0.00    0.00  120000/120000      void std::_Destroy<unsigned long long*>(unsigned long long*, unsigned long long*) [41]
[39]     0.0    0.00    0.00  120000         void std::_Destroy_aux<true>::__destroy<unsigned long long*>(unsigned long long*, unsigned long long*) [39]
-----------------------------------------------
                0.00    0.00   40000/120000      std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&) [82]
                0.00    0.00   80000/120000      std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::~_Vector_base() [52]
[40]     0.0    0.00    0.00  120000         std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_deallocate(unsigned long long*, unsigned long) [40]
                0.00    0.00   80000/80000       std::allocator_traits<std::allocator<unsigned long long> >::deallocate(std::allocator<unsigned long long>&, unsigned long long*, unsigned long) [53]
-----------------------------------------------
                0.00    0.00  120000/120000      void std::_Destroy<unsigned long long*, unsigned long long>(unsigned long long*, unsigned long long*, std::allocator<unsigned long long>&) [42]
[41]     0.0    0.00    0.00  120000         void std::_Destroy<unsigned long long*>(unsigned long long*, unsigned long long*) [41]
                0.00    0.00  120000/120000      void std::_Destroy_aux<true>::__destroy<unsigned long long*>(unsigned long long*, unsigned long long*) [39]
-----------------------------------------------
                0.00    0.00   40000/120000      std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&) [82]
                0.00    0.00   80000/120000      std::vector<unsigned long long, std::allocator<unsigned long long> >::~vector() [57]
[42]     0.0    0.00    0.00  120000         void std::_Destroy<unsigned long long*, unsigned long long>(unsigned long long*, unsigned long long*, std::allocator<unsigned long long>&) [42]
                0.00    0.00  120000/120000      void std::_Destroy<unsigned long long*>(unsigned long long*, unsigned long long*) [41]
-----------------------------------------------
                0.00    0.00   80000/80000       std::allocator_traits<std::allocator<unsigned long long> >::deallocate(std::allocator<unsigned long long>&, unsigned long long*, unsigned long) [53]
[43]     0.0    0.00    0.00   80000         __gnu_cxx::new_allocator<unsigned long long>::deallocate(unsigned long long*, unsigned long) [43]
-----------------------------------------------
                0.00    0.00   80000/80000       std::allocator_traits<std::allocator<unsigned long long> >::allocate(std::allocator<unsigned long long>&, unsigned long) [54]
[44]     0.0    0.00    0.00   80000         __gnu_cxx::new_allocator<unsigned long long>::allocate(unsigned long, void const*) [44]
                0.00    0.00   80000/120000      __gnu_cxx::new_allocator<unsigned long long>::_M_max_size() const [38]
-----------------------------------------------
                0.00    0.00   80000/80000       std::allocator<unsigned long long>::allocator(std::allocator<unsigned long long> const&) [48]
[45]     0.0    0.00    0.00   80000         __gnu_cxx::new_allocator<unsigned long long>::new_allocator(__gnu_cxx::new_allocator<unsigned long long> const&) [45]
-----------------------------------------------
                0.00    0.00   40000/80000       std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() const [66]
                0.00    0.00   40000/80000       std::vector<unsigned long long, std::allocator<unsigned long long> >::end() const [64]
[46]     0.0    0.00    0.00   80000         __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long const* const&) [46]
-----------------------------------------------
                0.00    0.00   80000/80000       unsigned long long const* std::__niter_base<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [60]
[47]     0.0    0.00    0.00   80000         __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const [47]
-----------------------------------------------
                0.00    0.00   40000/80000       std::vector<unsigned long long, std::allocator<unsigned long long> >::_S_check_init_len(unsigned long, std::allocator<unsigned long long> const&) [79]
                0.00    0.00   40000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::_Vector_impl(std::allocator<unsigned long long> const&) [69]
[48]     0.0    0.00    0.00   80000         std::allocator<unsigned long long>::allocator(std::allocator<unsigned long long> const&) [48]
                0.00    0.00   80000/80000       __gnu_cxx::new_allocator<unsigned long long>::new_allocator(__gnu_cxx::new_allocator<unsigned long long> const&) [45]
-----------------------------------------------
                0.00    0.00   40000/80000       unsigned long long* std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_allocate_and_copy<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(unsigned long, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [81]
                0.00    0.00   40000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_create_storage(unsigned long) [70]
[49]     0.0    0.00    0.00   80000         std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_allocate(unsigned long) [49]
                0.00    0.00   80000/80000       std::allocator_traits<std::allocator<unsigned long long> >::allocate(std::allocator<unsigned long long>&, unsigned long) [54]
-----------------------------------------------
                0.00    0.00   80000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::~_Vector_base() [52]
[50]     0.0    0.00    0.00   80000         std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::~_Vector_impl() [50]
                0.00    0.00   80000/160000      std::allocator<unsigned long long>::~allocator() [37]
-----------------------------------------------
                0.00    0.00   40000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::_Vector_impl(std::allocator<unsigned long long> const&) [69]
                0.00    0.00   40000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::_Vector_impl() [18]
[51]     0.0    0.00    0.00   80000         std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl_data::_Vector_impl_data() [51]
-----------------------------------------------
                0.00    0.00   80000/80000       std::vector<unsigned long long, std::allocator<unsigned long long> >::~vector() [57]
[52]     0.0    0.00    0.00   80000         std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::~_Vector_base() [52]
                0.00    0.00   80000/120000      std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_deallocate(unsigned long long*, unsigned long) [40]
                0.00    0.00   80000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_Vector_impl::~_Vector_impl() [50]
-----------------------------------------------
                0.00    0.00   80000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_deallocate(unsigned long long*, unsigned long) [40]
[53]     0.0    0.00    0.00   80000         std::allocator_traits<std::allocator<unsigned long long> >::deallocate(std::allocator<unsigned long long>&, unsigned long long*, unsigned long) [53]
                0.00    0.00   80000/80000       __gnu_cxx::new_allocator<unsigned long long>::deallocate(unsigned long long*, unsigned long) [43]
-----------------------------------------------
                0.00    0.00   80000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_allocate(unsigned long) [49]
[54]     0.0    0.00    0.00   80000         std::allocator_traits<std::allocator<unsigned long long> >::allocate(std::allocator<unsigned long long>&, unsigned long) [54]
                0.00    0.00   80000/80000       __gnu_cxx::new_allocator<unsigned long long>::allocate(unsigned long, void const*) [44]
-----------------------------------------------
                0.00    0.00   40000/80000       main [1]
                0.00    0.00   40000/80000       void std::_Destroy<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*) [97]
[55]     0.0    0.00    0.00   80000         std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::~dynamic_bitset() [55]
                0.00    0.00   80000/80000       std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::~__dynamic_bitset_base() [56]
-----------------------------------------------
                0.00    0.00   80000/80000       std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >::~dynamic_bitset() [55]
[56]     0.0    0.00    0.00   80000         std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::~__dynamic_bitset_base() [56]
                0.00    0.00   80000/80000       std::vector<unsigned long long, std::allocator<unsigned long long> >::~vector() [57]
-----------------------------------------------
                0.00    0.00   80000/80000       std::tr2::__dynamic_bitset_base<unsigned long long, std::allocator<unsigned long long> >::~__dynamic_bitset_base() [56]
[57]     0.0    0.00    0.00   80000         std::vector<unsigned long long, std::allocator<unsigned long long> >::~vector() [57]
                0.00    0.00   80000/200000      std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::_M_get_Tp_allocator() [35]
                0.00    0.00   80000/80000       std::_Vector_base<unsigned long long, std::allocator<unsigned long long> >::~_Vector_base() [52]
                0.00    0.00   80000/120000      void std::_Destroy<unsigned long long*, unsigned long long>(unsigned long long*, unsigned long long*, std::allocator<unsigned long long>&) [42]
-----------------------------------------------
                0.00    0.00   40000/80000       void std::_Destroy_aux<false>::__destroy<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*) [123]
                0.00    0.00   40000/80000       std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long>(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >*, unsigned long) [24]
[58]     0.0    0.00    0.00   80000         std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >* std::__addressof<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > >(std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >&) [58]
-----------------------------------------------
                0.00    0.00   80000/80000       unsigned long long* std::copy<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*>(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*) [95]
[59]     0.0    0.00    0.00   80000         __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::__miter_base<__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [59]
-----------------------------------------------
                0.00    0.00   80000/80000       unsigned long long* std::__copy_move_a<false, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*>(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, unsigned long long*) [86]
[60]     0.0    0.00    0.00   80000         unsigned long long const* std::__niter_base<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [60]
                0.00    0.00   80000/80000       __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::base() const [47]
-----------------------------------------------
                0.00    0.00       4/40004       std::vector<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> >, std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > >::_S_max_size(std::allocator<std::tr2::dynamic_bitset<unsigned long long, std::allocator<unsigned long long> > > const&) [107]
                0.00    0.00   40000/40004       std::vector<unsigned long long, std::allocator<unsigned long long> >::_S_max_size(std::allocator<unsigned long long> const&) [78]
[61]     0.0    0.00    0.00   40004         unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&) [61]
-----------------------------------------------
                0.00    0.00   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&) [82]
[62]     0.0    0.00    0.00   40000         __gnu_cxx::__alloc_traits<std::allocator<unsigned long long>, unsigned long long>::_S_propagate_on_copy_assign() [62]
-----------------------------------------------
                0.00    0.00   40000/40000       std::allocator_traits<std::allocator<unsigned long long> >::max_size(std::allocator<unsigned long long> const&) [72]
[63]     0.0    0.00    0.00   40000         __gnu_cxx::new_allocator<unsigned long long>::max_size() const [63]
                0.00    0.00   40000/120000      __gnu_cxx::new_allocator<unsigned long long>::_M_max_size() const [38]
-----------------------------------------------
                0.00    0.00   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&) [82]
[64]     0.0    0.00    0.00   40000         std::vector<unsigned long long, std::allocator<unsigned long long> >::end() const [64]
                0.00    0.00   40000/80000       __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long const* const&) [46]
-----------------------------------------------
                0.00    0.00   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&) [82]
[65]     0.0    0.00    0.00   40000         std::vector<unsigned long long, std::allocator<unsigned long long> >::size() const [65]
-----------------------------------------------
                0.00    0.00   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&) [82]
[66]     0.0    0.00    0.00   40000         std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() const [66]
                0.00    0.00   40000/80000       __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator(unsigned long long const* const&) [46]
-----------------------------------------------
                0.00    0.00   40000/40000       std::vector<unsigned long long, std::allocator<unsigned long long> >::operator=(std::vector<unsigned long long, std::allocator<unsigned long long> > const&) [82]
[67]     0.0    0.00    0.00   40000         std::vector<unsigned long long, std::allocator<unsigned long long> >::capacity() const [67]
-----------------------------------------------
                0.00    0.00   40000/40000       unsigned long long* std::__copy_move_a2<false, unsigned long long const*, unsigned long long*>(unsigned long long const*, unsigned long long const*, unsigned long long*) [88]
