Platform,File,PKG,DRAM,seconds,size
laptop-Intel, malavoglia, 1.810298, 0.085449,  0.1283109188079834,546382
laptop-Intel, malavoglia, 2.150202, 0.085815,  0.12749671936035156,546382
laptop-Intel, malavoglia, 2.096552, 0.087891,  0.12901830673217773,546382
laptop-Intel, malavoglia, 2.150324, 0.092529,  0.1343827247619629,546382
laptop-Intel, malavoglia, 2.310541, 0.083373,  0.12946844100952148,546382
laptop-Intel, malavoglia, 2.327326, 0.084656,  0.13312911987304688,546382
laptop-Intel, malavoglia, 2.301996, 0.080078,  0.12487435340881348,546382
laptop-Intel, malavoglia, 2.305658, 0.085327,  0.12908291816711426,546382
laptop-Intel, malavoglia, 1.617366, 0.080749,  0.12427616119384766,546382
laptop-Intel, malavoglia, 2.086176, 0.086914,  0.129364013671875,546382
laptop-Intel, 3romanzi, 12.349516, 0.492187,  0.7090747356414795,3033416
laptop-Intel, 3romanzi, 12.016143, 0.463866,  0.678154706954956,3033416
laptop-Intel, 3romanzi, 11.471528, 0.476501,  0.6913037300109863,3033416
laptop-Intel, 3romanzi, 12.160491, 0.486327,  0.7158770561218262,3033416
laptop-Intel, 3romanzi, 11.004245, 0.497313,  0.7107546329498291,3033416
laptop-Intel, 3romanzi, 11.811188, 0.494566,  0.7031607627868652,3033416
laptop-Intel, 3romanzi, 10.718723, 0.480956,  0.6968708038330078,3033416
laptop-Intel, 3romanzi, 10.854037, 0.473326,  0.69191575050354,3033416
laptop-Intel, 3romanzi, 11.403902, 0.478515,  0.6870172023773193,3033416
laptop-Intel, 3romanzi, 12.493621, 0.490722,  0.7089748382568359,3033416
laptop-Intel, 3romanzi, 12.201995, 0.484313,  0.695115327835083,3033416
laptop-Intel, 3romanzi, 11.17856, 0.491698,  0.7210662364959717,3033416
laptop-Intel, 3romanzi, 11.667328, 0.494323,  0.7002651691436768,3033416
laptop-Intel, 3romanzi, 11.79776, 0.487121,  0.6981930732727051,3033416
laptop-Intel, 3romanzi, 10.744785, 0.48535,  0.7092504501342773,3033416
laptop-Intel, 3romanzi, 11.093905, 0.463743,  0.6810736656188965,3033416
laptop-Intel, 3romanzi, 12.690641, 0.47235,  0.6910650730133057,3033416
laptop-Intel, 3romanzi, 11.856476, 0.487548,  0.713127613067627,3033416
laptop-Intel, 3romanzi, 12.513213, 0.489195,  0.6960630416870117,3033416
laptop-Intel, 3romanzi, 12.973417, 0.484373,  0.6909592151641846,3033416
laptop-Intel, 3romanzi, 11.697601, 0.483641,  0.7120876312255859,3033416
laptop-Intel, 3romanzi, 10.279759, 0.469787,  0.6813724040985107,3033416
laptop-Intel, 3romanzi, 11.867035, 0.480895,  0.6919054985046387,3033416
laptop-Intel, 3romanzi, 12.549956, 0.472656,  0.6916062831878662,3033416
laptop-Intel, 3romanzi, 10.001317, 0.48474,  0.6959223747253418,3033416
laptop-Intel, 3romanzi, 12.046539, 0.492064,  0.715965747833252,3033416
laptop-Intel, 3romanzi, 12.324004, 0.491637,  0.7118644714355469,3033416
laptop-Intel, 3romanzi, 10.884859, 0.489257,  0.7219693660736084,3033416
laptop-Intel, 3romanzi, 11.069491, 0.509154,  0.7380654811859131,3033416
laptop-Intel, 3romanzi, 11.751129, 0.480102,  0.7035415172576904,3033416
